RA,DEC,Vmag
54.91414,27.759314,8.92
54.921566,23.290874,9.94
54.92188,-56.148148,8.37
54.92188,-3.7849689,9.61
54.922405,37.792305,9.76
54.92437,-71.09838,9.0
54.92956,-52.915836,7.12
54.935146,-1.5925002,7.47
54.938244,56.383034,6.53
54.939495,-40.352215,6.55
54.94529,-13.258967,9.36
54.94659,-6.7771673,6.96
54.954002,33.47342,9.03
54.96301,3.0568633,5.55
54.965153,49.93552,9.09
54.9669,-30.087847,11.76
54.96794,55.75828,8.75
54.97199,-10.946825,7.01
54.972668,-28.51149,6.94
54.973274,47.383816,10.91
54.977608,55.878895,8.41
54.978317,-51.686947,8.5
54.98154,45.391525,9.37
54.982018,31.925884,9.03
54.983818,-41.531387,8.6
54.985954,-26.222347,9.44
54.98886,-67.22934,9.24
54.98918,-58.01875,8.69
54.995068,63.87041,6.81
54.995163,64.28541,7.38
54.998203,-1.1212265,6.12
55.001286,16.36019,8.37
55.00577,-55.547768,7.84
55.006645,-22.169771,8.59
55.0123,-34.54976,7.84
55.01284,27.740515,9.61
55.02101,44.071457,8.55
55.022457,63.874626,8.21
55.02997,4.630341,10.04
55.02995,34.116474,6.82
55.034836,69.7136,9.08
55.03692,48.95771,8.14
55.039013,-1.8967594,7.28
55.0415,13.19873,10.08
55.041847,26.960339,8.33
55.044987,-9.03913,6.92
55.047657,-15.226534,6.35
55.050133,68.26921,8.97
55.051975,-19.592827,6.91
55.054493,58.300705,9.12
55.057995,26.88744,8.23
55.0635,8.081384,8.72
55.065327,7.5852766,7.45
55.072453,-8.087349,8.24
55.076458,-24.517752,8.72
55.081524,-43.240818,7.35
55.083214,61.84401,9.19
55.089848,21.40574,7.16
55.091934,-3.2169814,6.68
55.090668,11.73167,9.48
55.092644,-30.508318,9.25
55.10115,29.956133,8.97
55.10677,-56.55496,8.23
55.108482,-65.2849,8.61
55.116726,64.9495,8.7
55.116844,5.1258717,6.61
55.12149,28.637548,7.99
55.122448,-47.925148,9.59
55.12281,5.129949,9.73
55.12474,63.69004,9.58
55.125694,-45.396812,10.55
55.133644,-19.42037,8.99
55.138206,52.334118,9.52
55.140064,-52.697895,8.24
55.140553,-11.276925,8.24
55.142796,-2.220409,9.58
55.146255,48.902702,9.17
55.15972,-5.210706,5.53
55.161537,28.77333,6.86
55.1668,80.47563,8.65
55.167545,-19.472942,6.82
55.167797,-53.738235,7.92
55.16787,29.45465,9.31
55.16924,46.023376,7.4
55.170826,18.100595,9.19
55.17264,-31.241528,8.63
55.18201,66.66194,9.62
55.18629,33.634613,8.68
55.190758,71.63318,8.76
55.190956,60.1182,9.14
55.192524,-4.1461406,8.42
55.192955,25.329493,6.11
55.195942,-14.7258415,8.65
